Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3sP3c86WFjOzHHnbhhZcLA,"Give Your Heart a Break","Unbroken","Demi Lovato",2011-01-01,205346,73,false,,2017-11-18T00:59:34Z,"","Hollywood Records",0.651,0.695,6,-3.218,1,0.0487,0.23,0,0.144,0.569,123.008,4
spotify:track:28UMEtwyUUy5u0UWOVHwiI,"I'll Make a Man Out of You","Mulan (Original Soundtrack)","Donny Osmond;Chorus - Mulan;Disney",1998-01-01,201680,73,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.672,0.322,7,-17.669,1,0.0339,0.144,0.0000296,0.074,0.496,113.852,4
spotify:track:1mea3bSkSGXuIRvnydlB5b,"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-06-06,242373,88,false,,2017-11-18T00:59:34Z,"","Parlophone UK",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
spotify:track:6mb6lVLNrcUgLnEN8QnDJd,"How Far I'll Go","Moana (Original Motion Picture Soundtrack/Deluxe Edition)","Auli'i Cravalho;Disney",2016-11-18,163386,75,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.571,0.307,1,-10.958,0,0.0499,0.649,0,0.178,0.108,83.72,4
spotify:track:1hwdPQtFHISvZ9SXMkNrIK,"A Whole New World","Aladdin Special Edition","Lea Salonga;Brad Kane;Disney",2004-01-01,160800,68,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.285,0.227,0,-15.793,1,0.0354,0.846,0.00000211,0.1,0.135,115.8,4
spotify:track:6Knv6wdA0luoMUuuoYi2i1,"My House","My House","Flo Rida",2015-04-07,192190,77,false,,2017-11-18T00:59:34Z,"","Poe Boy/Atlantic",0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.74,94.006,4
spotify:track:4iMMUS7E4ZPO7SFlwEmJSs,"Strong - Instrumental Version","Cinderella (Original Motion Picture Soundtrack)","Patrick Doyle;Kenneth Branagh;Tommy Danvers",2015-01-01,195586,32,false,,2017-11-18T00:59:34Z,"soundtrack","Walt Disney Records",0.2,0.512,4,-9.419,1,0.0338,0.144,0.915,0.335,0.0849,139.783,4
spotify:track:6KuHjfXHkfnIjdmcIvt9r0,"On Top Of The World","Night Visions (Deluxe)","Imagine Dragons",2012-09-04,189840,67,false,,2017-11-18T00:59:34Z,"","Kid Ina Korner / Interscope",0.635,0.926,0,-5.589,1,0.15,0.0892,0.0000044,0.0928,0.771,100.043,4
spotify:track:4Zt0S6F17PvurRkRD1qJWq,"Hall Of Fame (Glee Cast Version)","Hall Of Fame (Glee Cast Version)","Glee Cast",2013-05-14,198906,0,false,,2017-11-18T00:59:34Z,"","Columbia",0.421,0.813,10,-5.427,1,0.0424,0.0535,0,0.283,0.635,169.895,4
spotify:track:5sra5UY6sD658OabHL3QtI,"Empire State of Mind (Part II) Broken Down","The Element Of Freedom","Alicia Keys",2009-12-15,216480,75,false,,2017-11-18T00:59:34Z,"r&b,neo soul","J Records",0.484,0.368,6,-7.784,1,0.0341,0.74,0.0000382,0.118,0.142,92.923,4
spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,"Treat You Better","Illuminate","Shawn Mendes",2017-04-20,187973,87,false,,2017-11-18T00:59:34Z,"","Island Records",0.443,0.82,10,-4.091,0,0.34,0.107,0,0.107,0.771,82.697,4
spotify:track:4Dm32oO01YpIubCHaAtKkN,"My Life Would Suck Without You","All I Ever Wanted","Kelly Clarkson",2009-03-06,211493,66,false,,2017-11-18T00:59:34Z,"christmas","RCA Records Label",0.526,0.882,9,-4.006,1,0.0509,0.0014,0,0.144,0.424,144.982,4
spotify:track:7CMUQu028pU9oKOFMI6pgK,"Strong","Cinderella (Original Motion Picture Soundtrack)","Sonna Rele",2015-01-01,194053,46,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.324,0.563,1,-6.424,0,0.0398,0.586,0,0.374,0.172,69.196,4
spotify:track:7soJgKhQTO8hLP2JPRkL5O,"One Call Away","Nine Track Mind","Charlie Puth",2016-01-29,194453,57,false,,2017-11-18T00:59:34Z,"soft pop,pop","Artist Partner",0.667,0.613,1,-5.353,1,0.0344,0.403,0,0.115,0.47,91.024,4
spotify:track:70mHIUa4beJjFpBNyHYwT2,"Taste The Feeling (Avicii Vs. Conrad Sewell)","Taste The Feeling (Avicii Vs. Conrad Sewell)","Avicii;Conrad Sewell",2016-03-11,191065,55,false,,2017-11-18T00:59:34Z,"edm","Pophouse Entertainment Group",0.633,0.79,6,-4.529,1,0.0539,0.0335,0,0.0626,0.558,89.933,4
spotify:track:5U0ELGcI6Efm6c1fQ8rKTL,"Don't Stop Believin' (Glee Cast - Rachel/Lea Michele solo audition version)","Don't Stop Believin' (Glee Cast - Rachel/Lea Michele solo audition version)","Glee Cast",2013-04-23,226693,0,false,,2017-11-18T00:59:34Z,"","Columbia",0.544,0.788,6,-5.429,1,0.0351,0.0192,0,0.0906,0.349,123.985,4
spotify:track:1X1DWw2pcNZ8zSub3uhlNz,"Hall of Fame (feat. will.i.am)","#3","The Script;will.i.am",2012-10-09,202530,69,false,,2017-11-18T00:59:34Z,"","Epic/Phonogenic",0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,4
spotify:track:0PZCJRizjjaygMsxthL0dr,"Fantasmic! Exit Music - Disneyland Park","A Musical Tour: Treasures of the Walt Disney Archives at The Reagan Library","Bruce Healey",2012-01-01,178693,41,false,,2017-11-18T00:59:34Z,"","Walt Disney Records",0.533,0.525,7,-8.162,1,0.039,0.565,0.437,0.084,0.55,128.013,4
